secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
52,79,109,0.4398,28.9944,0,113,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
53,79,110,0.4479,29.1744,0,116,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
54,79,110,0.4561,29.3256,0,115,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
55,79,109,0.4643,29.4192,0,112,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
56,79,109,0.4725,29.4408,0,112,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
57,77,109,0.4805,29.3328,0,108,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
58,76,109,0.4884,29.16,0,106,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
59,79,109,0.4965,29.0736,0,119,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
60,79,109,0.5046,29.0592,0,114,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
61,79,109,0.5128,29.0448,0,118,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
62,80,109,0.521,29.1312,0,118,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
63,79,109,0.5291,29.2968,0,106,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
64,79,109,0.5372,29.3472,0,111,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
65,77,109,0.5453,29.2752,0,105,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
66,77,109,0.5533,29.1384,0,111,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
67,77,109,0.5612,28.9872,0,110,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
68,76,109,0.5692,28.8288,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
69,80,109,0.5771,28.7208,0,126,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
70,81,108,0.5852,28.692,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
71,84,108,0.5928,28.4904,0,110,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
72,83,108,0.6005,28.3104,0,104,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
73,84,108,0.6083,28.1808,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
74,83,108,0.6161,28.044,0,101,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
75,84,108,0.6238,27.8568,0,105,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
76,84,108,0.6316,27.936,0,108,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
77,84,107,0.6395,28.008,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
78,85,108,0.6473,28.0656,0,109,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
79,85,107,0.6552,28.1376,0,101,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
80,84,107,0.663,28.2312,0,106,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
81,84,107,0.6709,28.26,0,106,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
82,85,106,0.6787,28.2744,0,108,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
83,85,107,0.6866,28.3248,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
84,86,107,0.6946,28.3608,0,105,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
85,96,107,0.7025,28.3896,0,70,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
86,101,108,0.71,28.152,0,68,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
87,103,108,0.7165,27.216,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
88,107,108,0.7232,26.3664,0,98,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
89,97,107,0.7299,25.416,0,75,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
90,96,107,0.7362,24.2496,0,83,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
91,92,107,0.7423,23.2416,0,70,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
92,93,106,0.7483,22.8528,0,77,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
93,95,106,0.7543,22.3416,0,78,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
94,94,105,0.7603,21.924,0,77,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
95,95,105,0.7664,21.7584,0,78,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
96,95,104,0.7725,21.7512,0,78,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
97,96,104,0.7786,21.852,0,80,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
98,96,103,0.7848,21.9672,0,79,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
99,89,103,0.7909,22.032,0,76,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
100,87,102,0.7971,22.1472,0,87,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
101,82,104,0.8037,22.464,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
102,85,103,0.8105,22.9392,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
103,85,103,0.8173,23.3856,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
104,86,103,0.8241,23.9112,0,97,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
105,87,103,0.8311,24.4512,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
106,88,103,0.8381,24.7968,0,97,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
107,87,103,0.8452,25.0128,0,95,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
108,87,103,0.8523,25.2072,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
109,85,103,0.8592,25.2936,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
110,86,102,0.8662,25.236,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
111,86,103,0.8731,25.1568,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
112,86,102,0.88,25.056,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
113,86,102,0.8869,24.9552,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
114,85,102,0.8938,24.9048,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
115,83,101,0.9007,24.84,0,83,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
116,85,101,0.9073,24.6816,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
117,86,101,0.9141,24.552,0,95,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
118,85,101,0.921,24.4872,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
119,85,101,0.9278,24.4296,0,93,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
120,86,101,0.9346,24.4656,0,93,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
121,85,100,0.9415,24.5952,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
122,86,101,0.9484,24.6672,0,93,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
123,86,102,0.9553,24.7176,0,87,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
124,86,102,0.9622,24.768,0,93,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
125,87,102,0.9691,24.8112,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
126,85,101,0.976,24.8544,0,96,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
127,85,101,0.9829,24.8328,0,93,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
128,85,100,0.9897,24.7824,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
129,86,100,0.9965,24.7464,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
130,86,99,1.0034,24.7104,0,95,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
131,86,99,1.0104,24.7176,0,94,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
132,85,98,1.0173,24.7608,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
133,85,98,1.0241,24.768,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
134,85,98,1.0309,24.768,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
135,86,98,1.0378,24.7752,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
136,85,98,1.0447,24.7464,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
137,85,98,1.0516,24.7104,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
138,85,98,1.0584,24.7104,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
139,85,98,1.0653,24.7032,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
140,84,98,1.072,24.624,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
141,84,97,1.0788,24.5232,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
142,84,98,1.0855,24.4368,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
143,84,98,1.0923,24.372,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
144,84,98,1.099,24.3288,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
145,84,98,1.1058,24.336,0,87,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
146,84,98,1.1126,24.3648,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
147,85,98,1.1194,24.4296,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
148,85,97,1.1262,24.4584,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
149,85,97,1.1331,24.4944,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
150,85,97,1.1399,24.516,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
151,85,97,1.1467,24.5232,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
152,84,97,1.1535,24.4872,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
153,83,97,1.1602,24.4656,0,87,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
154,83,97,1.1669,24.3648,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
155,84,97,1.1736,24.2928,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
156,83,97,1.1803,24.228,0,86,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
157,83,97,1.187,24.1704,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
158,83,97,1.1937,24.1128,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
159,85,97,1.2004,24.1272,0,94,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
160,84,96,1.2072,24.2064,0,95,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
161,84,96,1.2141,24.2928,0,96,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
162,86,96,1.2209,24.3936,0,95,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
163,86,96,1.2278,24.5376,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
164,84,96,1.2347,24.6672,0,84,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
165,85,97,1.2415,24.7032,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
166,84,98,1.2483,24.6672,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
167,85,98,1.2551,24.6312,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
168,85,98,1.2619,24.5808,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
169,85,98,1.2688,24.5664,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
170,84,92,1.2756,24.5448,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
171,85,93,1.2825,24.5736,0,93,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
172,88,94,1.2894,24.6744,0,94,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
173,88,96,1.2964,24.7896,0,95,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
174,86,96,1.3033,24.876,0,93,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
175,86,97,1.3103,24.948,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
176,87,97,1.3172,25.0344,0,91,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
177,85,98,1.3242,25.0416,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
178,85,98,1.331,24.9552,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
179,85,99,1.3379,24.8904,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
180,85,99,1.3448,24.8256,0,90,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
181,86,99,1.3516,24.7752,0,92,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
182,87,99,1.3586,24.7824,0,89,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
183,86,99,1.3656,24.8832,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
184,88,99,1.3726,24.984,0,84,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
185,87,99,1.3796,25.092,0,85,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
186,87,99,1.3866,25.1568,0,87,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
187,87,99,1.3935,25.1784,0,87,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
188,87,98,1.4005,25.1496,0,86,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
189,86,98,1.4073,24.9912,0,83,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
190,86,98,1.4121,23.4072,0,83,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
191,86,97,1.4169,21.8376,0,83,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
192,0,96,1.4179,17.5464,0,55,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
193,0,96,1.4185,12.9888,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
194,0,94,1.4185,8.0856,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
195,0,93,1.4185,4.6296,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
196,0,92,1.4185,1.1808,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
197,0,91,1.4185,0.4536,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
198,0,90,1.4185,0,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
199,0,90,1.4185,0,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
200,0,89,1.4185,0,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
201,0,89,1.4185,0,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
202,0,89,1.4185,0,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
203,0,89,1.4185,0,0,0,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
361,60,70,1.4185,0,0,0,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
362,67,71,1.4231,0.1008,0,75,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
363,81,72,1.428,0.2124,0,96,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
364,81,72,1.4342,0.3492,0,102,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
365,82,72,1.4408,0.4932,0,92,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
366,82,74,1.4474,0.4932,0,92,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
367,82,76,1.4539,0.4932,0,91,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
368,81,78,1.4605,0.4932,0,85,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
369,81,79,1.467,23.5944,0,89,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
370,83,82,1.4735,23.5728,0,91,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
371,82,83,1.4802,23.6088,0,85,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
372,82,84,1.4868,23.6448,0,91,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
373,83,84,1.4934,23.6736,0,94,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
374,85,83,1.5001,23.8176,0,93,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
375,84,82,1.5069,23.9976,0,90,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
376,83,81,1.5136,24.0624,0,88,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
377,82,80,1.5203,24.12,0,88,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
378,84,81,1.5269,24.1488,0,93,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
379,83,81,1.5336,24.1416,0,93,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
380,85,81,1.5404,24.12,0,94,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
381,85,81,1.5473,24.2424,0,92,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
382,84,82,1.5541,24.3432,0,90,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
383,84,83,1.5609,24.444,0,94,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
384,85,85,1.5676,24.5088,0,95,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
385,85,85,1.5744,24.5232,0,95,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
